Country,x,y
Japan,0.853,0.28166667
Chile,0.277,0.6816667
Argentina,0.302,0.685
Portugal,0.449,0.265
Brazil,0.332,0.5516667
Cuba,0.255,0.36666667
Madagascar,0.598,0.615
Papua New Guinea,0.868,0.535
Canada,0.204,0.2
Russia,0.727,0.14166667
USA,0.199,0.28
Norway,0.493,0.135
China,0.77,0.30833334
Belgium,0.485,0.19833334
Finland,0.538,0.13333334
Zambia,0.549,0.5833333
Morocco,0.453,0.30666667
Switzerland,0.493,0.22166666
South Africa,0.537,0.68
Netherlands,0.487,0.18666667
UK,0.466,0.17833333
Spain,0.462,0.26
Germany,0.499,0.19333333
DRC,0.541,0.50166667
Algeria,0.482,0.31
Zimbabwe,0.555,0.61333334
Hungary,0.525,0.22333333
New Caledonia,0.926,0.62666667
Ukraine,0.56,0.20166667
Indonesia,0.803,0.51166666
South Korea,0.822,0.285
Phillipines,0.809,0.425
Australia,0.84,0.645
Hong Kong,0.785,0.36333334
Taiwan,0.803,0.35833332
Singapore,0.757,0.5083333
