Country,2012,2013,2014,2015,2016,2017*
DR Congo,"51,000","54,000","63,000","63,000","66,000","64,000"
Russia,"6,300","6,300","6,300","6,300","6,200","5,600"
Australia,"5,880","6,400","5,980","6,000","5,100","5,000"
Canada,"6,630","6,920","6,570","6,300","7,300","4,300"
Cuba,"4,900","4,200","3,700","4,200","4,200","4,200"
Philippines,-,-,-,-,"3,500","4,000"
Madagascar,-,-,"3,100","3,600","3,300","3,800"
Papua New Guinea,-,-,-,-,"2,190","3,200"
Zambia,"4,200","5,200","5,500","5,500","4,600","2,900"
New Caledonia**,"2,620","3,190","4,040","3,300","3,300","2,800"
South Africa,-,"3,000","3,000","2,800",300,"2,500"
United States,-,-,-,760,690,650
China***,"7,000","7,200","7,200","7,200","7,700",-
Brazil****,"3,900","3,000","2,600","2,600",-,-
